symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
INTC,Intel Corporation - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-INTC.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-INTC.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-INTC.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
IVZ,Invesco Ltd Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-IVZ.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-IVZ.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-IVZ.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
KKR,KKR & Co. Inc. Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-KKR.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-KKR.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-KKR.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
LCID,Lucid Group,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-LCID.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-LCID.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-LCID.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
LEVI,Levi Strauss & Co Class A Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-LEVI.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-LEVI.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-LEVI.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
MARA,MARA Holdings,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-MARA.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-MARA.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-MARA.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
MXL,MaxLinear,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-MXL.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-MXL.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-MXL.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
OPEN,Opendoor Technologies Inc - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-OPEN.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-OPEN.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-OPEN.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
OWL,Blue Owl Capital Inc. Class A Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-OWL.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-OWL.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-OWL.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
PENG,Penguin Solutions,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-PENG.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-PENG.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-PENG.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
PURR,Hyperliquid Strategies Inc - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-PURR.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-PURR.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-PURR.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
RELX,RELX PLC PLC American Depositary Shares,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-RELX.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-RELX.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-RELX.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
