market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,source_count,source_summary
tw,台股,3034,聯詠,IC 設計,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3034,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3090,日電貿,電子通路,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3090,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3149,正達,玻璃基板,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3149,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3257,虹冠電,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3257,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3338,泰碩,散熱,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3338,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3362,先進光,光學/CPO,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3362,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3374,精材,封測,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3374,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3537,堡達,電子通路,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3537,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3675,德微,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3675,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3711,日月光投控,封測,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3711,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,4923,力士,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-4923,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,5285,界霖,導線架 / 半導體材料,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-5285,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,5299,杰力,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-5299,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,5425,台半,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-5425,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,6147,頎邦,封測,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-6147,1,KOL/news 現在不能買，但值得等買點名單
