market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,4942,嘉彰,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-4942/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-4942/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-4942/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-4942/risk_plan.html
tw,5203,訊連,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-5203/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-5203/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-5203/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-5203/risk_plan.html
tw,6165,浪凡,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6165/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6165/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6165/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6165/risk_plan.html
tw,6201,亞弘電,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6201/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6201/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6201/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6201/risk_plan.html
tw,6235,華孚,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6235/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6235/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6235/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6235/risk_plan.html
tw,6641,基士德-KY,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6641/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6641/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6641/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6641/risk_plan.html
tw,6742,澤米,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6742/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6742/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6742/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6742/risk_plan.html
tw,6838,台新藥,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6838/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6838/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6838/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6838/risk_plan.html
tw,6885,全福生技,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6885/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6885/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6885/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6885/risk_plan.html
tw,6919,康霈*,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6919/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6919/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6919/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-6919/risk_plan.html
