market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,1527,鑽全,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1527/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1527/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1527/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1527/risk_plan.html
tw,1626,艾美特-KY,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1626/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1626/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1626/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1626/risk_plan.html
tw,1760,寶齡富錦,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1760/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1760/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1760/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-1760/risk_plan.html
tw,2027,大成鋼,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2027/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2027/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2027/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2027/risk_plan.html
tw,2102,泰豐,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2102/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2102/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2102/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2102/risk_plan.html
tw,2103,台橡,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2103/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2103/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2103/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2103/risk_plan.html
tw,2206,三陽工業,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2206/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2206/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2206/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2206/risk_plan.html
tw,2208,台船,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2208/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2208/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2208/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2208/risk_plan.html
tw,2258,鴻華先進-創,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2258/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2258/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2258/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2258/risk_plan.html
tw,2321,東訊,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2321/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2321/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2321/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2321/risk_plan.html
tw,2330,台積電,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2330/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2330/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2330/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2330/risk_plan.html
tw,2457,飛宏,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2457/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2457/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2457/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-2457/risk_plan.html
